transaction_id,complaint_id,from_account,to_account,amount,hop_number,timestamp
T000000067,C0000013,ACC000120,ACC000118,861,3,2026-01-01T09:35:14.629625
T000000068,C0000013,ACC000120,ACC000117,3639,3,2026-01-01T09:35:14.629625
T000000069,C0000013,ACC000121,ACC000118,2999,3,2026-01-01T09:17:13.801005
T000000070,C0000013,ACC000121,ACC000117,1901,3,2026-01-01T09:17:13.801005
T000000071,C0000013,ACC000118,ACC000119,3800,4,2026-01-01T09:36:03.142970
T000000072,C0000013,ACC000117,ACC000119,5500,4,2026-01-01T09:28:02.636205
T000000073,C0000014,VICTIM_V0000014,ACC000027,3300,1,2026-01-01T09:04:13.978814
T000000074,C0000014,ACC000027,ACC000022,3300,2,2026-01-01T09:25:10.688708
T000000075,C0000014,ACC000022,ACC000023,3200,3,2026-01-01T09:44:09.435194
T000000076,C0000015,VICTIM_V0000015,ACC000030,12000,1,2026-01-01T09:06:45.612394
T000000077,C0000015,ACC000030,ACC000032,11800,2,2026-01-01T09:28:04.829750
T000000078,C0000015,ACC000032,ACC000031,11700,3,2026-01-01T09:44:58.806055
T000000079,C0000016,VICTIM_V0000016,ACC000035,112300,1,2026-01-01T09:07:34.521636
T000000080,C0000016,ACC000035,ACC000033,54198,2,2026-01-01T09:25:07.942963
T000000081,C0000016,ACC000035,ACC000034,55502,2,2026-01-01T09:25:07.942963
T000000082,C0000016,ACC000033,ACC000035,53600,3,2026-01-01T09:43:02.038007
T000000083,C0000016,ACC000034,ACC000035,54000,3,2026-01-01T09:54:27.321546
T000000084,C0000017,VICTIM_V0000017,ACC000077,65300,1,2026-01-01T09:05:40.032324
T000000085,C0000017,ACC000077,ACC000069,35392,2,2026-01-01T09:22:38.662909
T000000086,C0000017,ACC000077,ACC000081,28508,2,2026-01-01T09:22:38.662909
T000000087,C0000017,ACC000069,ACC000080,34100,3,2026-01-01T09:42:28.474598
T000000088,C0000017,ACC000081,ACC000080,27500,3,2026-01-01T09:49:22.345824
T000000089,C0000018,VICTIM_V0000018,ACC001376,22000,1,2026-01-01T09:08:54.067238
T000000090,C0000018,ACC001376,ACC001378,7158,2,2026-01-01T09:16:45.429463
T000000091,C0000018,ACC001376,ACC001374,4494,2,2026-01-01T09:16:45.429463
T000000092,C0000018,ACC001376,ACC001379,9749,2,2026-01-01T09:16:45.429463
T000000093,C0000018,ACC001378,ACC001377,3253,3,2026-01-01T09:29:24.151074
T000000094,C0000018,ACC001378,ACC001380,93,3,2026-01-01T09:29:24.151074
T000000095,C0000018,ACC001378,ACC001381,3754,3,2026-01-01T09:29:24.151074
T000000096,C0000018,ACC001374,ACC001377,1016,3,2026-01-01T09:46:03.863710
T000000097,C0000018,ACC001374,ACC001380,708,3,2026-01-01T09:46:03.863710
T000000098,C0000018,ACC001374,ACC001381,2676,3,2026-01-01T09:46:03.863710
T000000099,C0000018,ACC001379,ACC001377,4591,3,2026-01-01T09:44:17.941475
T000000100,C0000018,ACC001379,ACC001380,2613,3,2026-01-01T09:44:17.941475
T000000101,C0000018,ACC001379,ACC001381,2296,3,2026-01-01T09:44:17.941475
T000000102,C0000018,ACC001377,ACC001375,8800,4,2026-01-01T10:12:12.917996
T000000103,C0000018,ACC001380,ACC001375,3400,4,2026-01-01T09:55:54.746509
T000000104,C0000018,ACC001381,ACC001375,8600,4,2026-01-01T10:10:20.347570
T000000105,C0000019,VICTIM_V0000019,ACC000056,15100,1,2026-01-01T09:07:05.285699
T000000106,C0000019,ACC000056,ACC000058,15000,2,2026-01-01T09:13:50.171151
T000000107,C0000019,ACC000058,ACC000057,14900,3,2026-01-01T09:25:02.246706
T000000108,C0000020,VICTIM_V0000020,ACC000006,6400,1,2026-01-01T09:08:26.179901
T000000109,C0000020,ACC000006,ACC000004,6300,2,2026-01-01T09:14:51.914907
T000000110,C0000020,ACC000004,ACC000005,6200,3,2026-01-01T09:24:04.438744
T000000111,C0000021,VICTIM_V0000021,ACC000134,4100,1,2026-01-01T09:07:00.979504
T000000112,C0000021,ACC000134,ACC000135,1793,2,2026-01-01T09:29:05.499716
T000000113,C0000021,ACC000134,ACC000136,2107,2,2026-01-01T09:29:05.499716
T000000114,C0000021,ACC000135,ACC000136,1800,3,2026-01-01T09:50:44.728707
T000000115,C0000021,ACC000136,ACC000136,3900,3,2026-01-01T09:53:45.105990
T000000116,C0000022,VICTIM_V0000022,ACC000004,36000,1,2026-01-01T09:06:32.151703
T000000117,C0000022,ACC000004,ACC000005,35700,2,2026-01-01T09:29:38.957443
T000000118,C0000022,ACC000005,ACC000006,35400,3,2026-01-01T09:49:09.615682
T000000119,C0000023,VICTIM_V0000023,ACC000019,1857200,1,2026-01-01T09:06:16.319765
T000000120,C0000023,ACC000019,ACC000021,159189,2,2026-01-01T09:25:53.508923
T000000121,C0000023,ACC000019,ACC000020,1665811,2,2026-01-01T09:25:53.508923
T000000122,C0000023,ACC000021,ACC000021,153400,3,2026-01-01T09:46:22.265636
T000000123,C0000023,ACC000020,ACC000021,1638100,3,2026-01-01T09:33:00.062569
T000000124,C0000024,VICTIM_V0000024,ACC000038,49100,1,2026-01-01T09:07:07.101396
T000000125,C0000024,ACC000038,ACC000040,45888,2,2026-01-01T09:13:58.259920
T000000126,C0000024,ACC000038,ACC000037,2512,2,2026-01-01T09:13:58.259920
T000000127,C0000024,ACC000040,ACC000036,45200,3,2026-01-01T09:34:18.121235
T000000128,C0000024,ACC000037,ACC000036,2500,3,2026-01-01T09:37:51.379494
T000000129,C0000024,ACC000036,ACC000039,45900,4,2026-01-01T09:55:49.955681
T000000130,C0000025,VICTIM_V0000025,ACC000005,1406100,1,2026-01-01T09:06:26.452123
T000000131,C0000025,ACC000005,ACC000006,1365600,2,2026-01-01T09:33:02.282604
T000000132,C0000025,ACC000006,ACC000004,1327800,3,2026-01-01T09:38:34.635147
T000000133,C0000026,VICTIM_V0000026,ACC000054,6500,1,2026-01-01T09:10:17.294151
T000000134,C0000026,ACC000054,ACC000051,1451,2,2026-01-01T09:30:23.635797
T000000135,C0000026,ACC000054,ACC000052,4889,2,2026-01-01T09:30:23.635797
T000000136,C0000026,ACC000054,ACC000053,60,2,2026-01-01T09:30:23.635797
T000000137,C0000026,ACC000051,ACC000050,1400,3,2026-01-01T09:47:35.934091
T000000138,C0000026,ACC000052,ACC000050,4700,3,2026-01-01T09:36:02.777195
T000000139,C0000026,ACC000053,ACC000050,100,3,2026-01-01T09:33:52.105098
T000000140,C0000026,ACC000050,ACC000054,6000,4,2026-01-01T09:45:08.681762
T000000141,C0000027,VICTIM_V0000027,ACC000033,1000,1,2026-01-01T09:06:44.768193
T000000142,C0000027,ACC000033,ACC000034,1000,2,2026-01-01T09:23:37.321080
T000000143,C0000027,ACC000034,ACC000035,1000,3,2026-01-01T09:30:08.136369
T000000144,C0000028,VICTIM_V0000028,ACC000339,165300,1,2026-01-01T09:06:52.858233
T000000145,C0000028,ACC000339,ACC000337,162100,2,2026-01-01T09:17:17.051639
T000000146,C0000028,ACC000337,ACC000338,158200,3,2026-01-01T09:33:03.021181
T000000147,C0000029,VICTIM_V0000029,ACC001521,2500,1,2026-01-01T09:08:20.815665
T000000148,C0000029,ACC001521,ACC001520,2400,2,2026-01-01T09:16:43.203557
T000000149,C0000029,ACC001520,ACC001519,2400,3,2026-01-01T09:32:25.653188
T000000150,C0000030,VICTIM_V0000030,ACC000622,26800,1,2026-01-01T09:08:51.788759
T000000151,C0000030,ACC000622,ACC000624,14252,2,2026-01-01T09:32:26.297267
T000000152,C0000030,ACC000622,ACC000623,12148,2,2026-01-01T09:32:26.297267
T000000153,C0000030,ACC000624,ACC000624,13700,3,2026-01-01T09:42:31.382819
T000000154,C0000030,ACC000623,ACC000624,12000,3,2026-01-01T09:41:55.169417
T000000155,C0000031,VICTIM_V0000031,ACC000348,18100,1,2026-01-01T09:07:27.618667
T000000156,C0000031,ACC000348,ACC000350,17900,2,2026-01-01T09:28:25.338980
T000000157,C0000031,ACC000350,ACC000343,17600,3,2026-01-01T09:37:45.756536
T000000158,C0000031,ACC000343,ACC000345,17400,4,2026-01-01T09:50:07.971968
T000000159,C0000032,VICTIM_V0000032,ACC000030,23700,1,2026-01-01T09:10:55.612593
T000000160,C0000032,ACC000030,ACC000031,23000,2,2026-01-01T09:22:01.171854
T000000161,C0000032,ACC000031,ACC000032,22300,3,2026-01-01T09:39:50.770950
T000000162,C0000033,VICTIM_V0000033,ACC000196,113600,1,2026-01-01T09:10:10.250406
T000000163,C0000033,ACC000196,ACC000197,110800,2,2026-01-01T09:32:44.682291
T000000164,C0000033,ACC000197,ACC000199,108700,3,2026-01-01T09:46:33.408812
T000000165,C0000034,VICTIM_V0000034,ACC000002,695800,1,2026-01-01T09:08:15.829307
T000000166,C0000034,ACC000002,ACC000001,166025,2,2026-01-01T09:22:18.833429
T000000167,C0000034,ACC000002,ACC000003,503575,2,2026-01-01T09:22:18.833429
T000000168,C0000034,ACC000001,ACC000003,162300,3,2026-01-01T09:45:24.954990
T000000169,C0000034,ACC000003,ACC000003,648200,3,2026-01-01T09:47:51.936055
T000000170,C0000035,VICTIM_V0000035,ACC000471,204400,1,2026-01-01T09:09:37.107959
T000000171,C0000035,ACC000471,ACC000469,136159,2,2026-01-01T09:13:58.651259
T000000172,C0000035,ACC000471,ACC000470,60141,2,2026-01-01T09:13:58.651259
T000000173,C0000035,ACC000469,ACC000471,134800,3,2026-01-01T09:23:20.476445
T000000174,C0000035,ACC000470,ACC000471,58000,3,2026-01-01T09:26:44.754392
T000000175,C0000036,VICTIM_V0000036,ACC000001,54800,1,2026-01-01T09:07:34.177373
T000000176,C0000036,ACC000001,ACC000002,33566,2,2026-01-01T09:16:58.097136
T000000177,C0000036,ACC000001,ACC000003,20134,2,2026-01-01T09:16:58.097136
T000000178,C0000036,ACC000002,ACC000003,33200,3,2026-01-01T09:30:47.358937
T000000179,C0000036,ACC000003,ACC000003,52300,3,2026-01-01T09:34:10.490552
T000000180,C0000037,VICTIM_V0000037,ACC000134,65600,1,2026-01-01T09:11:24.787787
T000000181,C0000037,ACC000134,ACC000135,30300,2,2026-01-01T09:26:04.717439
T000000182,C0000037,ACC000134,ACC000136,33600,2,2026-01-01T09:26:04.717439
T000000183,C0000037,ACC000135,ACC000136,30000,3,2026-01-01T09:37:04.548591
T000000184,C0000037,ACC000136,ACC000136,62400,3,2026-01-01T09:48:02.804706
T000000185,C0000038,VICTIM_V0000038,ACC000003,499400,1,2026-01-01T09:08:05.176646
T000000186,C0000038,ACC000003,ACC000002,494600,2,2026-01-01T09:21:43.824895
T000000187,C0000038,ACC000002,ACC000001,491800,3,2026-01-01T09:28:53.329307
T000000188,C0000039,VICTIM_V0000039,ACC000333,87700,1,2026-01-01T09:09:36.911079
T000000189,C0000039,ACC000333,ACC000331,24671,2,2026-01-01T09:19:47.630235
T000000190,C0000039,ACC000333,ACC000332,60429,2,2026-01-01T09:19:47.630235
T000000191,C0000039,ACC000331,ACC000333,23800,3,2026-01-01T09:41:00.852699
T000000192,C0000039,ACC000332,ACC000333,59400,3,2026-01-01T09:42:11.907612
T000000193,C0000040,VICTIM_V0000040,ACC000011,42800,1,2026-01-01T09:11:31.434511
T000000194,C0000040,ACC000011,ACC000015,42000,2,2026-01-01T09:21:18.114992
T000000195,C0000040,ACC000015,ACC000012,41400,3,2026-01-01T09:39:15.337889
T000000196,C0000040,ACC000012,ACC000007,40700,4,2026-01-01T09:59:49.371103
T000000197,C0000041,VICTIM_V0000041,ACC001292,4500,1,2026-01-01T09:10:52.796173
T000000198,C0000041,ACC001292,ACC001288,2109,2,2026-01-01T09:30:13.250994
T000000199,C0000041,ACC001292,ACC001293,866,2,2026-01-01T09:30:13.250994
T000000200,C0000041,ACC001292,ACC001291,1425,2,2026-01-01T09:30:13.250994
T000000201,C0000041,ACC001288,ACC001290,752,3,2026-01-01T09:35:17.146196
T000000202,C0000041,ACC001288,ACC001289,1248,3,2026-01-01T09:35:17.146196
T000000203,C0000041,ACC001293,ACC001290,189,3,2026-01-01T09:43:43.106146
T000000204,C0000041,ACC001293,ACC001289,611,3,2026-01-01T09:43:43.106146
T000000205,C0000041,ACC001291,ACC001290,1366,3,2026-01-01T09:55:17.039776
T000000206,C0000041,ACC001291,ACC001289,34,3,2026-01-01T09:55:17.039776
T000000207,C0000041,ACC001290,ACC001293,2300,4,2026-01-01T10:17:05.873044
T000000208,C0000041,ACC001289,ACC001293,1800,4,2026-01-01T10:13:25.414261
T000000209,C0000042,VICTIM_V0000042,ACC001128,1200,1,2026-01-01T09:11:12.579439
T000000210,C0000042,ACC001128,ACC001129,563,2,2026-01-01T09:14:59.848243
T000000211,C0000042,ACC001128,ACC001130,637,2,2026-01-01T09:14:59.848243
T000000212,C0000042,ACC001129,ACC001130,600,3,2026-01-01T09:26:03.556264
T000000213,C0000042,ACC001130,ACC001130,1200,3,2026-01-01T09:18:10.791521
T000000214,C0000043,VICTIM_V0000043,ACC000018,18100,1,2026-01-01T09:12:42.721001
T000000215,C0000043,ACC000018,ACC000016,17600,2,2026-01-01T09:33:20.234486
T000000216,C0000043,ACC000016,ACC000008,17500,3,2026-01-01T09:46:02.957059
T000000217,C0000044,VICTIM_V0000044,ACC000003,12000,1,2026-01-01T09:12:25.704386
T000000218,C0000044,ACC000003,ACC000001,9470,2,2026-01-01T09:20:04.024603
T000000219,C0000044,ACC000003,ACC000002,2130,2,2026-01-01T09:20:04.024603
T000000220,C0000044,ACC000001,ACC000003,9300,3,2026-01-01T09:34:44.498191
T000000221,C0000044,ACC000002,ACC000003,2100,3,2026-01-01T09:26:12.718758
T000000222,C0000045,VICTIM_V0000045,ACC000039,13200,1,2026-01-01T09:13:53.485419
T000000223,C0000045,ACC000039,ACC000038,3923,2,2026-01-01T09:21:45.727706
T000000224,C0000045,ACC000039,ACC000036,6600,2,2026-01-01T09:21:45.727706
T000000225,C0000045,ACC000039,ACC000040,2377,2,2026-01-01T09:21:45.727706
T000000226,C0000045,ACC000038,ACC000037,3900,3,2026-01-01T09:40:42.517761
T000000227,C0000045,ACC000036,ACC000037,6400,3,2026-01-01T09:45:16.421171
T000000228,C0000045,ACC000040,ACC000037,2300,3,2026-01-01T09:44:01.100191
T000000229,C0000046,VICTIM_V0000046,ACC000002,2600,1,2026-01-01T09:11:40.060648
T000000230,C0000046,ACC000002,ACC000001,2500,2,2026-01-01T09:31:01.903355
T000000231,C0000046,ACC000001,ACC000003,2400,3,2026-01-01T09:45:49.577471
T000000232,C0000047,VICTIM_V0000047,ACC000003,8400,1,2026-01-01T09:10:57.482120
T000000233,C0000047,ACC000003,ACC000002,5744,2,2026-01-01T09:26:10.184446
T000000234,C0000047,ACC000003,ACC000001,2456,2,2026-01-01T09:26:10.184446
T000000235,C0000047,ACC000002,ACC000003,5500,3,2026-01-01T09:48:24.785753
T000000236,C0000047,ACC000001,ACC000003,2400,3,2026-01-01T09:38:31.203882
T000000237,C0000048,VICTIM_V0000048,ACC000581,23500,1,2026-01-01T09:11:44.652017
T000000238,C0000048,ACC000581,ACC000580,9832,2,2026-01-01T09:22:31.811461
T000000239,C0000048,ACC000581,ACC000582,13168,2,2026-01-01T09:22:31.811461
T000000240,C0000048,ACC000580,ACC000582,9600,3,2026-01-01T09:36:18.167725
T000000241,C0000048,ACC000582,ACC000582,22500,3,2026-01-01T09:41:37.649595
T000000242,C0000049,VICTIM_V0000049,ACC000006,192400,1,2026-01-01T09:15:41.967695
T000000243,C0000049,ACC000006,ACC000004,189200,2,2026-01-01T09:21:11.614611
T000000244,C0000049,ACC000004,ACC000005,182800,3,2026-01-01T09:33:37.892318
T000000245,C0000050,VICTIM_V0000050,ACC000019,62500,1,2026-01-01T09:12:07.740298
T000000246,C0000050,ACC000019,ACC000021,60300,2,2026-01-01T09:41:14.511328
T000000247,C0000050,ACC000021,ACC000020,58300,3,2026-01-01T10:03:38.795601
T000000248,C0000051,VICTIM_V0000051,ACC000013,25800,1,2026-01-01T09:14:33.182421
T000000249,C0000051,ACC000013,ACC000018,6678,2,2026-01-01T09:22:57.465242
T000000250,C0000051,ACC000013,ACC000012,6691,2,2026-01-01T09:22:57.465242
T000000251,C0000051,ACC000013,ACC000014,11731,2,2026-01-01T09:22:57.465242
T000000252,C0000051,ACC000018,ACC000007,6600,3,2026-01-01T09:48:06.518537
T000000253,C0000051,ACC000012,ACC000007,6600,3,2026-01-01T09:49:25.499563
T000000254,C0000051,ACC000014,ACC000007,11500,3,2026-01-01T09:37:31.253763
T000000255,C0000052,VICTIM_V0000052,ACC000185,67600,1,2026-01-01T09:15:52.611689
T000000256,C0000052,ACC000185,ACC000179,67100,2,2026-01-01T09:24:30.668603
T000000257,C0000053,VICTIM_V0000053,ACC000040,21400,1,2026-01-01T09:14:08.982041
T000000258,C0000053,ACC000040,ACC000039,4574,2,2026-01-01T09:29:14.932929
T000000259,C0000053,ACC000040,ACC000036,16326,2,2026-01-01T09:29:14.932929
T000000260,C0000053,ACC000039,ACC000038,4500,3,2026-01-01T09:35:50.571220
T000000261,C0000053,ACC000036,ACC000038,15800,3,2026-01-01T09:52:37.677136
T000000262,C0000054,VICTIM_V0000054,ACC000263,3300,1,2026-01-01T09:14:32.678054
T000000263,C0000054,ACC000263,ACC000261,3300,2,2026-01-01T09:43:49.228492
T000000264,C0000054,ACC000261,ACC000262,3200,3,2026-01-01T09:50:32.305040
T000000265,C0000055,VICTIM_V0000055,ACC000042,296500,1,2026-01-01T09:16:26.412166
T000000266,C0000055,ACC000042,ACC000049,113899,2,2026-01-01T09:26:00.855436
T000000267,C0000055,ACC000042,ACC000045,122953,2,2026-01-01T09:26:00.855436
T000000268,C0000055,ACC000042,ACC000048,53648,2,2026-01-01T09:26:00.855436
T000000269,C0000055,ACC000049,ACC000041,111300,3,2026-01-01T09:30:40.845466
T000000270,C0000055,ACC000045,ACC000041,121200,3,2026-01-01T09:43:20.346641
T000000271,C0000055,ACC000048,ACC000041,53300,3,2026-01-01T09:30:53.587757
T000000272,C0000055,ACC000041,ACC000047,278600,4,2026-01-01T09:40:33.755146
T000000273,C0000056,VICTIM_V0000056,ACC000104,116300,1,2026-01-01T09:17:39.751448
T000000274,C0000056,ACC000104,ACC000102,53530,2,2026-01-01T09:31:04.012844
T000000275,C0000056,ACC000104,ACC000101,22295,2,2026-01-01T09:31:04.012844
T000000276,C0000056,ACC000104,ACC000093,38975,2,2026-01-01T09:31:04.012844
T000000277,C0000056,ACC000102,ACC000096,51700,3,2026-01-01T09:49:01.807360
T000000278,C0000056,ACC000101,ACC000096,22000,3,2026-01-01T09:43:31.552769
T000000279,C0000056,ACC000093,ACC000096,38500,3,2026-01-01T09:36:16.972543
T000000280,C0000056,ACC000096,ACC000090,7500,4,2026-01-01T09:49:09.329633
T000000281,C0000056,ACC000096,ACC000099,47361,4,2026-01-01T09:49:09.329633
T000000282,C0000056,ACC000096,ACC000098,53739,4,2026-01-01T09:49:09.329633
T000000283,C0000056,ACC000090,ACC000088,7400,5,2026-01-01T10:04:37.670995
T000000284,C0000056,ACC000099,ACC000088,46700,5,2026-01-01T10:07:46.742780
T000000285,C0000056,ACC000098,ACC000088,52800,5,2026-01-01T10:09:18.959342
T000000286,C0000056,ACC000088,ACC000092,106000,6,2026-01-01T10:37:59.938264
T000000287,C0000057,VICTIM_V0000057,ACC001889,152300,1,2026-01-01T09:15:22.123238
T000000288,C0000057,ACC001889,ACC001893,73310,2,2026-01-01T09:40:18.919769
T000000289,C0000057,ACC001889,ACC001892,49295,2,2026-01-01T09:40:18.919769
T000000290,C0000057,ACC001889,ACC001890,25795,2,2026-01-01T09:40:18.919769
T000000291,C0000057,ACC001893,ACC001891,70800,3,2026-01-01T10:00:43.544666
T000000292,C0000057,ACC001892,ACC001891,48700,3,2026-01-01T09:55:30.368584
T000000293,C0000057,ACC001890,ACC001891,25500,3,2026-01-01T10:01:18.082229
T000000294,C0000058,VICTIM_V0000058,ACC000006,4900,1,2026-01-01T09:17:30.879939
T000000295,C0000058,ACC000006,ACC000004,1702,2,2026-01-01T09:45:58.075006
T000000296,C0000058,ACC000006,ACC000005,3098,2,2026-01-01T09:45:58.075006
T000000297,C0000058,ACC000004,ACC000006,1600,3,2026-01-01T10:10:38.405363
T000000298,C0000058,ACC000005,ACC000006,3000,3,2026-01-01T09:55:31.405486
T000000299,C0000059,VICTIM_V0000059,ACC000005,1000,1,2026-01-01T09:15:12.062451
T000000300,C0000059,ACC000005,ACC000006,593,2,2026-01-01T09:30:42.863977
T000000301,C0000059,ACC000005,ACC000004,407,2,2026-01-01T09:30:42.863977
T000000302,C0000059,ACC000006,ACC000006,600,3,2026-01-01T09:39:12.855182
T000000303,C0000059,ACC000004,ACC000006,400,3,2026-01-01T09:56:52.717221
T000000304,C0000060,VICTIM_V0000060,ACC000131,328000,1,2026-01-01T09:18:32.816811
T000000305,C0000060,ACC000131,ACC000133,315800,2,2026-01-01T09:30:55.103820
T000000306,C0000060,ACC000133,ACC000132,310100,3,2026-01-01T09:46:56.282247
T000000307,C0000061,VICTIM_V0000061,ACC000032,6400,1,2026-01-01T09:16:49.531982
T000000308,C0000061,ACC000032,ACC000031,6200,2,2026-01-01T09:34:06.509667
T000000309,C0000061,ACC000031,ACC000030,6000,3,2026-01-01T09:40:43.297797
T000000310,C0000062,VICTIM_V0000062,ACC000840,581700,1,2026-01-01T09:19:24.044202
T000000311,C0000062,ACC000840,ACC000843,93302,2,2026-01-01T09:39:14.603082
T000000312,C0000062,ACC000840,ACC000849,467698,2,2026-01-01T09:39:14.603082
T000000313,C0000062,ACC000843,ACC000847,91100,3,2026-01-01T09:50:38.493406
T000000314,C0000062,ACC000849,ACC000847,460800,3,2026-01-01T10:02:42.143246
T000000315,C0000063,VICTIM_V0000063,ACC000283,300800,1,2026-01-01T09:16:33.213033
T000000316,C0000063,ACC000283,ACC000286,258187,2,2026-01-01T09:22:43.140885
